Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
3685,Nivada,Automatic,Steel,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,600.0,Item is in stock,
3686,Benzinger,Manual winding,Steel,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,14208.0,Item available on request,566.0
3687,Spinnaker,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,162.0,Item is in stock,14642.0
3688,Sector,Quartz,,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,100.0,Item is in stock,
3689,Vacheron Constantin,Automatic,White gold,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,13999.0,Item is in stock,254.0
3690,Zodiac,Quartz,Steel,Steel,Used (Very good),"Original box, no original papers",Men's watch/Unisex,325.0,Item is in stock,
3691,Grand Seiko,Automatic,Steel,Steel,Used (Good),"Original box, original papers",Men's watch/Unisex,7195.0,Item is in stock,409.0
3692,Concord,,,,Used (Very good),"Original box, original papers",,2700.0,Item is in stock,118.0
3693,Invicta,Automatic,Steel,Steel,Used (Good),"Original box, original papers",Men's watch/Unisex,107.0,Item is in stock,
3694,Parmigiani Fleurier,,,,Used (Very good),"Original box, original papers",,13500.0,Item is in stock,226.0
3695,Philip Watch,Quartz,Steel,Steel,Used (Good),"Original box, original papers",Men's watch/Unisex,304.0,Item is in stock,
3696,Lemania,Manual winding,Steel,Calf skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3145.0,Item is in stock,1072.0
3697,Atlantic,Manual winding,,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,270.0,Item is in stock,1433.0
3698,Wenger,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,292.0,Item is in stock,14642.0
3699,Patek Philippe,Manual winding,Yellow gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,11457.0,Item is in stock,355.0
3700,Venezianico,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1383.0,Item is in stock,
3701,Parmigiani Fleurier,Automatic,Rose gold,,Like new & unworn,"Original box, original papers",Women's watch,17950.0,Item is in stock,2206.0
3702,Oris,Automatic,Titanium,Textile,New,"Original box, original papers",Men's watch/Unisex,4500.0,Item needs to be procured,266.0
3703,Swiss Military,Quartz,,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,287.0,Item is in stock,
3704,Casio,Quartz,Steel,Rubber,New,"Original box, original papers",,139.0,Item is in stock,1179.0
3705,Dewitt,Automatic,Rose gold,Leather,New,"Original box, original papers",Men's watch/Unisex,7300.0,Item is in stock,191.0
3706,Vacheron Constantin,Manual winding,Platinum,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,84950.0,Item is in stock,3088.0
3707,Venezianico,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,678.0,Item is in stock,1230.0
3708,Jorg Hysek,Automatic,Rose gold,Crocodile skin,Used (Very good),"Original box, original papers",,113878.0,Item is in stock,849.0
3709,Benrus,Quartz,Steel,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,103.0,Item is in stock,
3710,Minerva,Manual winding,Steel,Calf skin,Used (Good),"No original box, no original papers",Men's watch/Unisex,18000.0,Item is in stock,27.0
3711,Swiss Military,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,411.0,Item is in stock,14642.0
3712,Stowa,Automatic,Steel,Rubber,Used (Very good),"No original box, no original papers",Men's watch/Unisex,636.0,Item is in stock,179.0
3713,Laurent Ferrier,Manual winding,Titanium,,New,"Original box, original papers",Men's watch/Unisex,190000.0,Item is in stock,306.0
3714,Sector,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,157.0,Item is in stock,
3715,Chopard,,,,,"No original box, no original papers",,12349.0,Item is in stock,57.0
3716,Certina,Automatic,Titanium,Titanium,Used (Very good),"No original box, no original papers",Men's watch/Unisex,536.0,Item needs to be procured,314.0
3717,Frederique Constant,Quartz,Steel,Steel,New,"Original box, original papers",Women's watch,1038.0,Item is in stock,319.0
3718,Chanel,Quartz,Gold/Steel,,Used (Fair),"No original box, no original papers",Women's watch,678.0,Item is in stock,6079.0
3719,Fendi,Automatic,,Ceramic,Used (Very good),"No original box, no original papers",Men's watch/Unisex,290.0,Item is in stock,
3720,Pierre Kunz,Automatic,Rose gold,,New,"Original box, original papers",Men's watch/Unisex,10950.0,Item is in stock,2206.0
3721,Gevril,Automatic,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3399.0,Item is in stock,902.0
3722,Orient,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,350.0,Item is in stock,319.0
3723,Police,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,69.0,Item is in stock,14642.0
3724,Edox,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,995.0,Item is in stock,2073.0
3725,Eberhard & Co.,Automatic,Yellow gold,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,5846.0,Item is in stock,2439.0
3726,Movado,Manual winding,Steel,Satin,Used (Fair),"No original box, no original papers",Men's watch/Unisex,985.0,Item is in stock,1393.0
3727,Clerc,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2988.0,Item is in stock,141.0
3728,Pulsar,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Women's watch,97.0,Item is in stock,14642.0
3729,Luminox,Quartz,Plastic,Plastic,New,"Original box, original papers",Men's watch/Unisex,569.0,Item is in stock,1608.0
3730,Milus,Automatic,Rose gold,Crocodile skin,New,"Original box, original papers",Women's watch,10420.0,Item is in stock,1424.0
3731,Ebel,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",,1074.0,Item is in stock,1408.0
3778,U-Boat,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,2600.0,Item is in stock,73.0
3732,Swiss Military,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,248.0,Item is in stock,14642.0
3733,Jacob & Co.,Manual winding,Titanium,Rubber,Used (Very good),"Original box, no original papers",,16750.0,Item is in stock,895.0
3734,Parmigiani Fleurier,Manual winding,Rose gold,Leather,Used (Very good),"No original box, no original papers",,34500.0,Item is in stock,231.0
3735,Frederique Constant,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2262.0,Item is in stock,
3736,Vostok,Manual winding,Steel,Textile,Used (Good),"No original box, no original papers",Men's watch/Unisex,107.0,Item is in stock,
3737,Montblanc,Automatic,Steel,Steel,Used (Good),"Original box, no original papers",Men's watch/Unisex,1454.0,Item is in stock,1583.0
3738,Pulsar,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Women's watch,107.0,Item is in stock,14642.0
3739,Raketa,Manual winding,,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,183.0,Item is in stock,1433.0
3740,Union Glashütte,,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,1508.0,Item is in stock,
3741,Fortis,Automatic,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,2701.0,Item is in stock,
3742,Gaga Milano,Manual winding,Steel,Leather,Used (Fair),"No original box, no original papers",Men's watch/Unisex,182.0,Item is in stock,17869.0
3743,Versace,Quartz,Steel,Leather,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,786.0,Item is in stock,263.0
3744,Graham,Automatic,Steel,Rubber,Used (Good),"Original box, original papers",Men's watch/Unisex,4322.0,Item is in stock,6.0
3745,Atlantic,Manual winding,,,Used (Good),"No original box, no original papers",Men's watch/Unisex,271.0,Item is in stock,
3746,Daniel Roth,Automatic,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,18585.0,Item needs to be procured,777.0
3747,Tissot,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,499.0,Item is in stock,
3748,Timex,Quartz,,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,759.0,Item is in stock,
3749,Van Der Bauwede,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1496.0,Item is in stock,1.0
3750,Versace,Quartz,Gold/Steel,,New,"Original box, original papers",Men's watch/Unisex,1226.0,Item is in stock,1038.0
3751,Doxa,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,466.0,Item is in stock,496.0
3752,Sicura,Automatic,Steel,Leather,Used (Fair),"No original box, no original papers",Men's watch/Unisex,358.0,Item is in stock,
3753,Porsche Design,Automatic,Titanium,Leather,Used (Very good),"Original box, original papers",,5000.0,Item is in stock,895.0
3754,Lanco,Manual winding,Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,141.0,Item is in stock,
3755,Dewitt,Manual winding,Rose gold,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,85700.0,Item is in stock,239.0
3756,Eberhard & Co.,Manual winding,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1790.0,Item is in stock,328.0
3757,Rolex,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,19025.0,Item is in stock,135.0
