id,brand,movement,case_material,bracelet_material,condition,scope_of_delivery,gender,price,availability,watches_sold
109,Fortis,Automatic,Titanium,Titanium,New,Original Box and Papers,Men's watch/Unisex,7345.0,Available Upon Request,4592
110,Nivada,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,1005.0,Available Upon Request,3108
111,Junghans,Automatic,Gold/Steel,Calf skin,Used (Good),No Box and papers,Men's watch/Unisex,313.0,Available,722
112,Zeppelin,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,2106.0,Available Upon Request,399
114,Grand Seiko,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,6000.0,Available,627
115,TW Steel,Quartz,Steel,Calf skin,New,Original Box and Papers,Men's watch/Unisex,215.0,Available,14626
116,Bovet,Automatic,Steel,Crocodile skin,Used (Good),Original Paper,Men's watch/Unisex,11668.0,Available Upon Request,919
117,Breitling,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,3500.0,Available,6
118,Hermès,Quartz,Steel,Steel,Used,Original Box and Papers,Men's watch/Unisex,604.0,Available,17847
121,Cyma,Quartz,Yellow gold,Leather,New,No Box and papers,Women's watch,335.0,Available,2998
124,Dewitt,Automatic,Rose gold,Rubber,Used (Good),No Box and papers,Men's watch/Unisex,7500.0,Available Upon Request,89
125,Breguet,Automatic,Steel,Steel,Used (Good),Original Paper,Men's watch/Unisex,5295.0,Available,1296
128,U-Boat,Quartz,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,1000.0,Available,3529
130,Mühle Glashütte,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,3349.0,Available Upon Request,4181
131,Gucci,Quartz,Gold/Steel,Leather,Used (Good),No Box and papers,Women's watch,295.0,Available,1390
133,Ulysse Nardin,Automatic,Carbon,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,18299.0,Available Upon Request,522
134,Corum,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,4220.0,Available,178
135,Luminox,Quartz,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,782.0,Available,2139
139,Concord,Manual winding,Rose gold,Leather,Used (Good),No Box and papers,Men's watch/Unisex,6169.0,Available,17
144,Laco,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,367.0,Available,2328
145,Michele,Quartz,Steel,Leather,Used (Good),Original Box and Papers,Women's watch,449.0,Available,14
147,Ulysse Nardin,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,7985.0,Available,545
148,Favre-Leuba,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,627.0,Available,1005
149,Bedat & Co,Automatic,Steel,Leather,New,Original Box and Papers,Women's watch,3495.0,Available,1604
155,Tutima,Automatic,Titanium,Titanium,Used (Good),Original Box,Men's watch/Unisex,1441.0,Available,158
158,Swiss Military,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,269.0,Available,14626
162,Spinnaker,Automatic,Steel,Calf skin,New,Original Box and Papers,Men's watch/Unisex,198.0,Available,14626
163,Glycine,Automatic,White gold,Crocodile skin,Used (Good),No Box and papers,Women's watch,1200.0,Available,1461
164,Bovet,Manual winding,White gold,Alligator skin,Used (Good),Original Box and Papers,Men's watch/Unisex,82950.0,Available,3087
165,Yema,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,821.0,Available,11
166,Enicar,Automatic,Steel,Leather,Used,No Box and papers,Men's watch/Unisex,1574.0,Available,215
168,Meistersinger,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,2099.0,Available,1461
171,IWC,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,6749.0,Available,28
172,Victorinox Swiss Army,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,420.0,Available,219
173,Franck Muller,Quartz,White gold,Leather,New,Original Box and Papers,Women's watch,6154.0,Available,32
176,Pulsar,Quartz,Steel,Leather,Used (Good),No Box and papers,Women's watch,40.0,Available,545
180,Laco,Automatic,Steel,Textile,New,Original Box and Papers,Men's watch/Unisex,1970.0,Available,73
